Execution Time (ms),Pixel Error 
15.2802,945
4.27889,902
4.13008,354
4.08259,398
4.1137,433
4.15973,407
4.11699,268
4.21003,350
4.27277,241
4.04405,458
4.17532,403
4.2971,330
4.74679,1365
4.40817,222
4.18219,724
4.57498,5780
4.57065,4098
4.28037,363
4.34771,289
4.16542,371
4.1871,393
4.1733,195
4.26116,183
4.4827,916
4.16911,281
4.16355,1046
4.33202,1417
4.46038,1278
4.8462,1026
5.15767,1274
4.79938,902
4.50445,1505
4.4051,1408
4.54777,916
4.45322,859
4.4919,849
4.5388,916
4.60625,849
4.3576,568
4.25111,399
4.25316,391
